age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
36,5,166213,11,9,2,13,0,4,0,0,0,40,38,1
41,3,252986,15,10,2,2,0,4,0,0,0,48,38,1
31,3,176185,12,14,2,3,0,4,0,0,0,60,9,1
50,5,118058,9,13,2,3,0,4,0,15024,0,55,38,1
43,3,170721,15,10,2,2,0,4,0,0,0,40,38,1
24,3,267843,9,13,4,9,3,2,1,0,0,35,38,0
40,4,214781,15,10,2,3,0,4,0,7298,0,65,38,1
47,3,144351,9,13,2,3,0,4,0,0,0,45,38,1
43,3,383670,11,9,2,2,0,4,0,0,1902,40,38,1
33,3,348416,11,9,4,0,4,2,1,0,0,40,38,0
60,3,119684,15,10,2,6,0,4,0,3103,0,40,38,1
60,3,119684,15,10,2,6,0,4,0,3103,0,40,38,1
26,3,164488,9,13,4,9,1,4,0,13550,0,50,38,1
33,3,209415,0,6,0,10,1,4,1,0,0,32,38,0
28,3,139903,9,13,4,6,4,2,1,0,0,40,38,0
44,3,111275,11,9,4,7,4,2,1,0,0,38,38,0
25,3,789600,11,9,4,0,4,4,1,0,0,40,38,0
34,3,300681,15,10,2,9,0,2,0,0,0,40,22,1
45,1,203322,15,10,0,0,1,4,1,0,0,38,38,0
36,3,337039,7,12,4,12,1,2,0,14344,0,40,8,1
23,3,45317,15,10,5,11,3,4,1,0,0,40,38,0
59,3,140363,11,9,2,2,0,4,0,0,0,42,38,1
30,3,168443,11,9,5,7,4,4,1,0,0,30,38,0
43,3,170721,15,10,2,2,0,4,0,0,0,40,38,1
71,8,94314,11,9,2,14,5,4,1,1173,0,18,38,0
23,3,45317,15,10,5,11,3,4,1,0,0,40,38,0
24,3,267843,9,13,4,9,3,2,1,0,0,35,38,0
30,3,168443,11,9,5,7,4,4,1,0,0,30,38,0
33,3,209415,0,6,0,10,1,4,1,0,0,32,38,0
53,3,147476,11,9,0,3,1,2,1,0,0,40,38,0
53,3,147476,11,9,0,3,1,2,1,0,0,40,38,0
26,3,164488,9,13,4,9,1,4,0,13550,0,50,38,1
34,3,300681,15,10,2,9,0,2,0,0,0,40,22,1
49,8,271346,9,13,2,14,0,4,0,15024,0,60,38,1
71,8,94314,11,9,2,14,5,4,1,1173,0,18,38,0
29,0,204796,0,6,5,3,1,4,1,0,0,40,38,0
39,1,301614,8,11,2,10,0,4,0,0,0,48,38,1
20,8,232022,15,10,4,14,3,4,1,0,0,40,38,0
37,3,162322,8,11,5,2,1,4,1,0,0,40,38,0
41,3,252986,15,10,2,2,0,4,0,0,0,48,38,1
55,5,202652,8,11,2,11,5,4,1,0,0,30,38,0
53,3,147476,11,9,0,3,1,2,1,0,0,40,38,0
43,3,383670,11,9,2,2,0,4,0,0,1902,40,38,1
35,3,211494,9,13,4,9,1,4,0,8614,0,40,41,1
36,3,133974,8,11,0,11,4,4,1,0,0,40,38,0
48,4,193188,9,13,2,3,0,4,0,0,0,40,38,1
50,3,102615,11,9,2,3,0,4,0,0,1902,40,38,1
56,3,201817,11,9,6,6,1,2,1,0,0,40,38,0
38,3,278924,9,13,2,3,0,4,0,0,1887,50,38,1
39,1,301614,8,11,2,10,0,4,0,0,0,48,38,1
40,4,214781,15,10,2,3,0,4,0,7298,0,65,38,1
36,5,166213,11,9,2,13,0,4,0,0,0,40,38,1
45,3,341995,8,11,2,9,0,4,0,0,1902,42,38,1
35,4,289430,12,14,2,11,0,4,0,0,0,45,25,1
36,3,337039,7,12,4,12,1,2,0,14344,0,40,8,1
50,5,118058,9,13,2,3,0,4,0,15024,0,55,38,1
63,1,86590,11,9,2,3,5,4,1,0,0,32,38,0
53,3,102828,11,9,2,3,0,4,0,0,0,35,38,1
48,4,193188,9,13,2,3,0,4,0,0,0,40,38,1
28,3,139903,9,13,4,6,4,2,1,0,0,40,38,0
49,8,271346,9,13,2,14,0,4,0,15024,0,60,38,1
23,3,45317,15,10,5,11,3,4,1,0,0,40,38,0
43,3,170721,15,10,2,2,0,4,0,0,0,40,38,1
27,0,182637,14,15,2,9,0,4,0,0,0,45,41,1
19,3,84747,11,9,4,11,3,4,1,0,0,24,38,0
20,8,187332,0,6,4,14,1,4,1,0,0,30,38,0
31,3,145139,9,13,2,2,0,4,0,0,0,40,38,1
49,8,271346,9,13,2,14,0,4,0,15024,0,60,38,1
60,3,119684,15,10,2,6,0,4,0,3103,0,40,38,1
45,3,108859,11,9,5,2,4,2,1,0,0,40,38,0
40,3,203761,11,9,2,6,0,4,0,0,0,40,38,1
19,3,84747,11,9,4,11,3,4,1,0,0,24,38,0
30,3,168443,11,9,5,7,4,4,1,0,0,30,38,0
20,3,216472,15,10,4,11,3,4,1,0,0,25,38,0
20,8,187332,0,6,4,14,1,4,1,0,0,30,38,0
36,3,337039,7,12,4,12,1,2,0,14344,0,40,8,1
33,3,209415,0,6,0,10,1,4,1,0,0,32,38,0
24,3,267843,9,13,4,9,3,2,1,0,0,35,38,0
43,3,170721,15,10,2,2,0,4,0,0,0,40,38,1
40,3,168538,11,9,2,11,0,4,0,0,0,60,38,1
42,3,219155,8,11,2,2,0,4,0,0,0,45,38,1
43,3,383670,11,9,2,2,0,4,0,0,1902,40,38,1
61,3,153048,11,9,6,11,1,4,1,0,0,35,38,0
59,3,109015,11,9,0,12,4,4,1,0,0,40,38,0
31,3,176185,12,14,2,3,0,4,0,0,0,60,9,1
33,3,209415,0,6,0,10,1,4,1,0,0,32,38,0
53,3,102828,11,9,2,3,0,4,0,0,0,35,38,1
23,3,325179,11,9,2,11,0,4,0,0,0,40,38,1
59,3,109015,11,9,0,12,4,4,1,0,0,40,38,0
45,3,341995,8,11,2,9,0,4,0,0,1902,42,38,1
61,3,153048,11,9,6,11,1,4,1,0,0,35,38,0
60,0,21876,15,10,0,9,1,0,1,0,0,40,38,0
40,3,203761,11,9,2,6,0,4,0,0,0,40,38,1
20,8,232022,15,10,4,14,3,4,1,0,0,40,38,0
40,3,168538,11,9,2,11,0,4,0,0,0,60,38,1
58,3,191069,11,9,2,11,0,4,0,0,0,40,38,1
39,1,301614,8,11,2,10,0,4,0,0,0,48,38,1
22,3,500720,11,9,4,0,3,4,1,0,0,40,25,0
56,3,139616,9,13,0,3,1,4,0,0,0,45,38,1
44,3,111275,11,9,4,7,4,2,1,0,0,38,38,0
31,3,145139,9,13,2,2,0,4,0,0,0,40,38,1
19,3,84747,11,9,4,11,3,4,1,0,0,24,38,0
35,3,211494,9,13,4,9,1,4,0,8614,0,40,41,1
47,3,144351,9,13,2,3,0,4,0,0,0,45,38,1
36,3,133974,8,11,0,11,4,4,1,0,0,40,38,0
39,1,301614,8,11,2,10,0,4,0,0,0,48,38,1
41,3,373403,9,13,2,9,0,4,0,0,0,40,38,1
56,3,201817,11,9,6,6,1,2,1,0,0,40,38,0
50,3,102615,11,9,2,3,0,4,0,0,1902,40,38,1
27,0,182637,14,15,2,9,0,4,0,0,0,45,41,1
39,1,301614,8,11,2,10,0,4,0,0,0,48,38,1
33,3,209415,0,6,0,10,1,4,1,0,0,32,38,0
34,3,300681,15,10,2,9,0,2,0,0,0,40,22,1
32,3,168443,12,14,2,3,5,4,1,0,0,40,38,0
34,3,190151,15,10,4,0,1,4,1,0,0,42,38,0
37,3,162322,8,11,5,2,1,4,1,0,0,40,38,0
69,5,58213,9,13,2,9,0,4,0,20051,0,45,38,1
41,3,373403,9,13,2,9,0,4,0,0,0,40,38,1
57,5,24473,8,11,2,2,0,4,0,0,0,40,38,1
33,3,348416,11,9,4,0,4,2,1,0,0,40,38,0
50,3,102615,11,9,2,3,0,4,0,0,1902,40,38,1
68,3,165017,11,9,2,9,0,4,0,0,0,40,21,1
25,3,789600,11,9,4,0,4,4,1,0,0,40,38,0
23,3,325179,11,9,2,11,0,4,0,0,0,40,38,1
26,3,157028,12,14,4,9,1,4,0,0,0,55,38,1
53,4,220786,15,10,6,11,1,4,1,0,0,60,38,0
39,1,301614,8,11,2,10,0,4,0,0,0,48,38,1
35,3,211494,9,13,4,9,1,4,0,8614,0,40,41,1
17,1,292285,1,7,4,9,3,4,1,0,0,25,38,0
59,3,140569,15,10,5,11,1,4,0,14084,0,60,38,1
30,3,168443,11,9,5,7,4,4,1,0,0,30,38,0
40,3,203761,11,9,2,6,0,4,0,0,0,40,38,1
35,3,211494,9,13,4,9,1,4,0,8614,0,40,41,1
41,3,252986,15,10,2,2,0,4,0,0,0,48,38,1
25,3,789600,11,9,4,0,4,4,1,0,0,40,38,0
36,1,139703,12,14,4,9,1,2,1,0,0,40,38,0
45,1,203322,15,10,0,0,1,4,1,0,0,38,38,0
66,8,222810,15,10,0,14,2,4,1,0,0,35,38,0
31,3,176185,12,14,2,3,0,4,0,0,0,60,9,1
56,3,139616,9,13,0,3,1,4,0,0,0,45,38,1
36,1,139703,12,14,4,9,1,2,1,0,0,40,38,0
63,1,86590,11,9,2,3,5,4,1,0,0,32,38,0
37,3,162322,8,11,5,2,1,4,1,0,0,40,38,0
38,3,187264,11,9,2,3,5,4,1,0,0,55,38,0
30,3,168443,11,9,5,7,4,4,1,0,0,30,38,0
34,3,190151,15,10,4,0,1,4,1,0,0,42,38,0
37,3,95551,15,10,0,11,1,4,1,0,0,45,38,0
25,3,789600,11,9,4,0,4,4,1,0,0,40,38,0
26,3,233777,11,9,2,6,0,4,0,0,0,40,38,1
53,3,147476,11,9,0,3,1,2,1,0,0,40,38,0
47,3,144351,9,13,2,3,0,4,0,0,0,45,38,1
40,3,320451,9,13,2,12,0,1,0,0,0,40,41,1
23,3,325179,11,9,2,11,0,4,0,0,0,40,38,1
25,3,789600,11,9,4,0,4,4,1,0,0,40,38,0
42,3,219155,8,11,2,2,0,4,0,0,0,45,38,1
47,3,178341,0,6,2,6,0,4,0,0,0,46,38,1
36,1,139703,12,14,4,9,1,2,1,0,0,40,38,0
58,3,128258,11,9,0,11,1,4,1,0,0,24,38,0
61,3,153048,11,9,6,11,1,4,1,0,0,35,38,0
34,3,341954,9,13,2,3,0,4,0,0,0,40,38,1
42,3,347890,9,13,2,3,0,4,0,0,1902,50,38,1
23,3,245302,15,10,0,11,3,2,1,0,0,40,38,0
38,3,187264,11,9,2,3,5,4,1,0,0,55,38,0
59,3,109015,11,9,0,12,4,4,1,0,0,40,38,0
57,3,166107,11,9,2,0,5,1,1,0,0,40,41,0
20,3,131852,11,9,4,0,1,4,1,0,0,40,38,0
22,3,500720,11,9,4,0,3,4,1,0,0,40,25,0
44,3,45363,15,10,2,12,0,4,0,0,0,44,38,1
46,3,370119,14,15,2,9,0,4,0,99999,0,60,38,1
49,8,271346,9,13,2,14,0,4,0,15024,0,60,38,1
43,3,170721,15,10,2,2,0,4,0,0,0,40,38,1
33,3,209415,0,6,0,10,1,4,1,0,0,32,38,0
34,3,341954,9,13,2,3,0,4,0,0,0,40,38,1
29,0,204796,0,6,5,3,1,4,1,0,0,40,38,0
43,3,170721,15,10,2,2,0,4,0,0,0,40,38,1
71,8,94314,11,9,2,14,5,4,1,1173,0,18,38,0
22,3,500720,11,9,4,0,3,4,1,0,0,40,25,0
43,3,170721,15,10,2,2,0,4,0,0,0,40,38,1
40,5,266324,15,10,0,3,2,4,0,0,1564,70,19,1
63,1,86590,11,9,2,3,5,4,1,0,0,32,38,0
59,3,140363,11,9,2,2,0,4,0,0,0,42,38,1
33,3,209415,0,6,0,10,1,4,1,0,0,32,38,0
37,3,162322,8,11,5,2,1,4,1,0,0,40,38,0
53,3,147476,11,9,0,3,1,2,1,0,0,40,38,0
32,3,168443,12,14,2,3,5,4,1,0,0,40,38,0
48,4,193188,9,13,2,3,0,4,0,0,0,40,38,1
31,3,176185,12,14,2,3,0,4,0,0,0,60,9,1
69,5,58213,9,13,2,9,0,4,0,20051,0,45,38,1
26,3,233777,11,9,2,6,0,4,0,0,0,40,38,1
68,3,165017,11,9,2,9,0,4,0,0,0,40,21,1
23,3,325179,11,9,2,11,0,4,0,0,0,40,38,1
26,3,233777,11,9,2,6,0,4,0,0,0,40,38,1
36,1,139703,12,14,4,9,1,2,1,0,0,40,38,0
57,3,166107,11,9,2,0,5,1,1,0,0,40,41,0
25,3,789600,11,9,4,0,4,4,1,0,0,40,38,0
32,3,168443,12,14,2,3,5,4,1,0,0,40,38,0
38,3,247547,11,9,4,7,4,2,1,0,0,40,38,0
28,3,139903,9,13,4,6,4,2,1,0,0,40,38,0
29,0,204796,0,6,5,3,1,4,1,0,0,40,38,0
20,8,187332,0,6,4,14,1,4,1,0,0,30,38,0
47,3,144351,9,13,2,3,0,4,0,0,0,45,38,1
58,3,104333,15,10,2,2,0,4,0,0,0,40,38,1
34,3,190151,15,10,4,0,1,4,1,0,0,42,38,0
32,3,168443,12,14,2,3,5,4,1,0,0,40,38,0
46,3,370119,14,15,2,9,0,4,0,99999,0,60,38,1
68,3,165017,11,9,2,9,0,4,0,0,0,40,21,1
43,3,383670,11,9,2,2,0,4,0,0,1902,40,38,1
26,3,164488,9,13,4,9,1,4,0,13550,0,50,38,1
24,3,232328,6,5,0,7,3,4,1,0,0,35,38,0
23,6,112137,9,13,4,9,1,3,1,0,0,40,1,0
34,3,190151,15,10,4,0,1,4,1,0,0,42,38,0
23,3,117789,9,13,4,0,3,4,1,0,0,40,38,0
61,3,153048,11,9,6,11,1,4,1,0,0,35,38,0
57,3,166107,11,9,2,0,5,1,1,0,0,40,41,0
56,3,139616,9,13,0,3,1,4,0,0,0,45,38,1
45,1,203322,15,10,0,0,1,4,1,0,0,38,38,0
56,3,139616,9,13,0,3,1,4,0,0,0,45,38,1
38,3,187264,11,9,2,3,5,4,1,0,0,55,38,0
24,3,210029,11,9,4,0,1,4,1,0,2001,37,38,0
20,8,187332,0,6,4,14,1,4,1,0,0,30,38,0
66,8,222810,15,10,0,14,2,4,1,0,0,35,38,0
26,3,233777,11,9,2,6,0,4,0,0,0,40,38,1
17,1,292285,1,7,4,9,3,4,1,0,0,25,38,0
63,1,86590,11,9,2,3,5,4,1,0,0,32,38,0
37,3,162322,8,11,5,2,1,4,1,0,0,40,38,0
58,3,104333,15,10,2,2,0,4,0,0,0,40,38,1
40,3,203761,11,9,2,6,0,4,0,0,0,40,38,1
66,8,222810,15,10,0,14,2,4,1,0,0,35,38,0
66,8,222810,15,10,0,14,2,4,1,0,0,35,38,0
50,3,102615,11,9,2,3,0,4,0,0,1902,40,38,1
23,3,45317,15,10,5,11,3,4,1,0,0,40,38,0
26,3,164488,9,13,4,9,1,4,0,13550,0,50,38,1
20,3,216472,15,10,4,11,3,4,1,0,0,25,38,0
40,3,168538,11,9,2,11,0,4,0,0,0,60,38,1
40,3,168538,11,9,2,11,0,4,0,0,0,60,38,1
38,3,187264,11,9,2,3,5,4,1,0,0,55,38,0
33,3,209415,0,6,0,10,1,4,1,0,0,32,38,0
28,3,139903,9,13,4,6,4,2,1,0,0,40,38,0
20,3,216472,15,10,4,11,3,4,1,0,0,25,38,0
31,3,145139,9,13,2,2,0,4,0,0,0,40,38,1
51,5,136836,7,12,0,13,4,2,1,0,0,30,38,0
34,3,190151,15,10,4,0,1,4,1,0,0,42,38,0
57,5,24473,8,11,2,2,0,4,0,0,0,40,38,1
36,1,139703,12,14,4,9,1,2,1,0,0,40,38,0
35,3,148903,11,9,0,11,4,4,1,0,0,40,38,0
59,3,140363,11,9,2,2,0,4,0,0,0,42,38,1
47,3,178341,0,6,2,6,0,4,0,0,0,46,38,1
44,3,45363,15,10,2,12,0,4,0,0,0,44,38,1
30,3,242739,9,13,0,11,3,4,1,0,0,40,38,0
53,3,147476,11,9,0,3,1,2,1,0,0,40,38,0
23,6,112137,9,13,4,9,1,3,1,0,0,40,1,0
40,4,214781,15,10,2,3,0,4,0,7298,0,65,38,1
40,3,168538,11,9,2,11,0,4,0,0,0,60,38,1
40,4,214781,15,10,2,3,0,4,0,7298,0,65,38,1
46,3,162030,11,9,6,0,4,4,1,0,0,43,38,0
33,3,348416,11,9,4,0,4,2,1,0,0,40,38,0
40,3,168538,11,9,2,11,0,4,0,0,0,60,38,1
22,3,500720,11,9,4,0,3,4,1,0,0,40,25,0
31,3,176185,12,14,2,3,0,4,0,0,0,60,9,1
46,3,162030,11,9,6,0,4,4,1,0,0,43,38,0
17,1,292285,1,7,4,9,3,4,1,0,0,25,38,0
27,0,182637,14,15,2,9,0,4,0,0,0,45,41,1
34,3,190151,15,10,4,0,1,4,1,0,0,42,38,0
20,8,187332,0,6,4,14,1,4,1,0,0,30,38,0
36,3,133974,8,11,0,11,4,4,1,0,0,40,38,0
47,3,178341,0,6,2,6,0,4,0,0,0,46,38,1
34,3,300681,15,10,2,9,0,2,0,0,0,40,22,1
30,3,242739,9,13,0,11,3,4,1,0,0,40,38,0
43,3,383670,11,9,2,2,0,4,0,0,1902,40,38,1
20,8,187332,0,6,4,14,1,4,1,0,0,30,38,0
44,3,45363,15,10,2,12,0,4,0,0,0,44,38,1
57,5,24473,8,11,2,2,0,4,0,0,0,40,38,1
45,1,203322,15,10,0,0,1,4,1,0,0,38,38,0
34,3,341954,9,13,2,3,0,4,0,0,0,40,38,1
36,3,337039,7,12,4,12,1,2,0,14344,0,40,8,1
48,4,193188,9,13,2,3,0,4,0,0,0,40,38,1
29,3,144592,14,15,2,9,0,4,0,0,0,50,38,1
35,4,289430,12,14,2,11,0,4,0,0,0,45,25,1
